Ref_DOI_number,Perovskite_composition_short_form,Perovskite_composition_long_form,EQE_integrated_Jsc,JV_default_Voc,JV_default_Jsc,Perovskite_band_gap
10.1016/j.jpowsour.2017.06.013,MAPbI,MAPbI3,22.12,1.04,23.18,1.6
10.1016/j.jechem.2019.04.019,MAPbI,MAPbI3,22.12,1.07,20.72,1.6
10.1039/c8sc00731d,MAPbI,MAPbI3,22.11,1.09,22.58,1.6
10.1007/s40820-020-00517-y,MAPbI,MAPbI3,22.11,1.08,22.63,1.59
10.1002/aenm.201702960,MAPbI,MAPbI3,22.1,1.111,23.11,1.6
10.1002/adfm.201908298,MAPbI,MAPbI3,22.1,1.137,22.3,1.6
10.1002/adma.201903691,MAPbI,MAPbI3,22.1,1.05,22.99,1.6
10.1039/c8ta02868k,MAPbI,MAPbI3,22.1,1.12,22.0,1.6
10.1021/acsnano.8b06062,MAPbI,MAPbI3,22.1,1.105,22.8,1.6
10.1021/acsami.9b01740,MAPbI,MAPbI3,22.1,1.1,22.89,1.6
10.1002/adfm.201504190,MAPbI,MAPbI3,22.1,1.027,22.31,1.6
10.1016/j.nanoen.2018.01.049,MAPbI,MAPbI3,22.1,1.067,22.51,1.6
10.1021/acsami.9b15320,MAPbI,MAPbI3,22.1,1.03,22.9,1.6
10.1021/jacs.9b08424,MAPbI,MAPbI3,22.1,1.09,22.8,1.6
10.1039/c7ta01764b,MAPbI,MAPbI3,22.1,1.05,22.4,1.6
10.1002/aenm.201800438,MAPbI,MAPbI3,22.1,1.11,22.7,1.6
10.1021/acs.nanolett.8b02863,MAPbI,MAPbI3,22.1,1.073,24.3,1.6
10.7567/1882-0786/ab1fb6,MAPbI,MAPbI3,22.1,1.09,22.4,1.6
10.1016/j.joule.2019.05.005,MAPbI,MAPbI3,22.1,1.13,23.0,1.6
10.1016/j.nanoen.2017.11.003,MAPbI,MAPbI3,22.1,0.903,22.38,1.6
10.1021/acsami.9b15320,MAPbI,MAPbI3,22.1,1.03,22.9,1.6
10.1002/solr.201800027,MAPbI,MAPbI3,22.1,1.07,22.19,1.6
10.1016/j.jechem.2019.04.019,MAPbI,MAPbI3,22.1,1.07,20.98,1.6
10.1021/jacs.9b08424,MAPbI,MAPbI3,22.1,1.07,22.8,1.6
10.1039/c8sc00731d,MAPbI,MAPbI3,22.09,1.12,22.55,1.6
10.1002/cssc.201801888,MAPbI,MAPbI3,22.09,1.06,22.61,1.6
10.1039/C6EE02100J,MAPbI,MAPbI3,22.08,1.141,22.08,1.6
10.7567/1882-0786/ab1fb6,MAPbI,MAPbI3,22.08,1.0,22.4,1.6
10.1016/j.jpowsour.2017.05.084,MAPbI,MAPbI3,22.08,1.04,23.15,1.6
10.1002/adfm.201805810,MAPbI,MAPbI3,22.08,1.1,22.86,1.6
10.1039/d0ta04721j,MAPbI,MAPbI3,22.07,0.97,0.077,
10.1039/d0ta04721j,MAPbI,MAPbI3,22.07,1.2,22.1,
10.1039/d0ta04721j,MAPbI,MAPbI3,22.07,0.98,0.158,
10.1002/aenm.201901019,MAPbI,MAPbI3,22.05,1.043,22.25,1.6
10.1002/aenm.201803573,MAPbI,MAPbI3,22.05,1.16,22.61,1.57
10.1109/JPHOTOV.2018.2870320,MAPbI,MAPbI3,22.05,0.84,21.75,1.6
10.1002/aenm.201803573,MAPbI,MAPbI3,22.05,1.16,22.61,1.57
10.1002/solr.201800174,MAPbI,MAPbI3,22.05,0.92,23.52,1.6
10.1109/JPHOTOV.2018.2870320,MAPbI,MAPbI3,22.05,0.84,21.75,1.6
10.1016/j.nanoen.2018.11.004,MAPbI,MAPbI3,22.04,0.83,21.35,1.6
10.1039/c8nj03067g,MAPbI,MAPbI3,22.04,0.92,22.1,1.6
10.1039/c9ta12597c,MAPbI,MAPbI3,22.04,1.14,22.63,1.6
10.1039/c9ta12597c,MAPbI,MAPbI3,22.04,1.14,22.63,1.6
10.1016/j.nanoen.2019.104229,MAPbI,MAPbI3,22.03,1.1,22.38,1.6
10.1039/c9ta02631b,MAPbI,MAPbI3,22.03,1.11,23.2,1.6
10.1021/acsami.0c05527,MAPbI,MAPbI3,22.03,1.07,22.57,
10.1016/j.synthmet.2019.116107,MAPbI,MAPbI3,22.03,1.06,23.69,1.6
10.1021/acsami.0c05527,MAPbI,MAPbI3,22.03,1.07,22.57,
10.1021/acsami.0c05527,MAPbI,MAPbI3,22.03,1.07,22.57,
10.1002/ente.201900877,MAPbI,MAPbI3,22.02,1.07,22.5,1.6
10.1039/d0ta00978d,MAPbI,MAPbI3,22.02,1.09,20.79,1.55
10.1016/j.electacta.2018.09.195,MAPbI,MAPbI3,22.02,1.112,22.32,1.6
10.1002/adma.201906995,MAPbI,MAPbI3,22.02,1.105,22.59,1.6
10.1002/adma.201906995,MAPbI,MAPbI3,22.02,1.105,22.59,1.6
10.1007/s40820-019-0282-0,MAPbI,MAPbI3,22.01,1.094,23.075,1.6
10.1016/j.jpowsour.2017.06.013,MAPbI,MAPbI3,22.01,1.04,23.37,1.6
10.1002/adfm.201706276,MAPbI,MAPbI3,22.01,1.112,22.8,1.6
10.1016/j.inoche.2019.107701,MAPbI,MAPbI3,22.0,1.1,22.57,1.6
10.1002/adfm.201902021,MAPbI,MAPbI3,22.0,1.08,22.7,1.6
10.1016/j.jechem.2019.10.006,MAPbI,MAPbI3,22.0,1.1,22.96,1.59
10.1002/adfm.201902021,MAPbI,MAPbI3,22.0,1.08,22.29,1.6
10.1016/j.jechem.2019.10.006,MAPbI,MAPbI3,22.0,1.1,22.96,1.59
10.1039/C7CC01573A,MAPbI,MAPbI3,22.0,1.07,23.41,1.5
10.1002/aenm.202000967,MAPbI,MAPbI3,22.0,1.001,22.2,1.548
10.1016/j.inoche.2019.107701,MAPbI,MAPbI3,22.0,1.1,22.91,1.6
10.1039/c8nr08344d,MAPbI,MAPbI3,22.0,0.95,22.09,1.6
10.1039/c8nr08344d,MAPbI,MAPbI3,22.0,0.8,11.76,1.6
10.1039/c8nr08344d,MAPbI,MAPbI3,22.0,0.9,11.87,1.6
10.1016/j.inoche.2019.107701,MAPbI,MAPbI3,22.0,1.1,22.57,1.6
10.1016/j.inoche.2019.107701,MAPbI,MAPbI3,22.0,1.1,22.91,1.6
10.1016/j.jechem.2019.10.006,MAPbI,MAPbI3,22.0,1.1,22.96,1.59
10.1002/adfm.201902021,MAPbI,MAPbI3,22.0,1.08,22.7,1.6
10.1016/j.inoche.2019.107701,MAPbI,MAPbI3,22.0,1.1,22.57,1.6
10.1021/jacs.5b04930,MAPbI,MAPbI3,22.0,1.086,23.83,1.57
10.1021/acsami.7b09822,MAPbI,MAPbI3,22.0,1.043,22.7,1.6
10.1002/smtd.201900164,MAPbI,MAPbI3,22.0,1.07,22.9,1.6
10.1002/smtd.201900164,MAPbI,MAPbI3,22.0,1.1,23.6,1.6
10.1364/OME.7.002150,MAPbI,MAPbI3,22.0,1.002,23.3,1.6
10.1021/acsenergylett.9b00608,MAPbI,MAPbI3,22.0,1.1,22.5,1.6
10.1016/j.joule.2018.10.018,MAPbI,MAPbI3,22.0,1.12,22.14,1.6
10.1002/adma.201503298,MAPbI,MAPbI3,22.0,1.05,22.23,1.6
10.1002/adfm.201902021,MAPbI,MAPbI3,22.0,1.08,22.29,1.6
10.1016/j.jpowsour.2017.12.082,MAPbI,MAPbI3,22.0,1.043,23.4,1.6
10.1016/j.nanoen.2018.05.035,MAPbI,MAPbI3,22.0,1.107,22.34,1.6
10.1016/j.inoche.2019.107701,MAPbI,MAPbI3,22.0,1.1,22.91,1.6
10.1016/j.nanoen.2019.06.034,MAPbI,MAPbI3,22.0,1.13,22.81,1.6
10.1002/adfm.201909509,MAPbI,MAPbI3,22.0,1.039,21.8,1.6
10.1016/j.jpowsour.2019.226819,MAPbI,MAPbI3,22.0,1.09,22.4,1.6
10.1039/c7ra05741e,MAPbI,MAPbI3,22.0,1.01,21.8,1.55
10.1038/s41467-018-04028-8,MAPbI,MAPbI3,22.0,1.1,22.7,1.6
10.1002/adfm.201808119,MAPbI | (PPA)PbI,MAPbI3 | (PPA)PbI4,22.0,1.119,22.03,
10.1039/c8ta09724k,MAPbI,MAPbI3,22.0,1.02,23.82,1.6
10.1039/c7ta05560a,MAPbI,MAPbI3,22.0,1.12,22.7,1.6
10.3390/nano8090720,MAPbI,MAPbI3,22.0,0.94,22.18,1.58
10.1021/jacs.5b03144,MAPbI,MAPbI3,22.0,1.041,21.9,1.6
10.1002/solr.201800278,MAPbI,MAPbI3,22.0,1.12,22.8,1.6
10.1002/aenm.201702960,MAPbI,MAPbI3,22.0,1.095,22.66,1.6
10.1016/j.joule.2019.05.005,MAPbI,MAPbI3,22.0,1.06,23.3,1.6
10.1002/solr.201900045,MAPbI,MAPbI3,22.0,1.11,23.39,1.62
10.1002/ente.201500421,MAPbI,MAPbI3,22.0,0.99,21.11,1.6
10.1002/ente.201500421,MAPbI,MAPbI3,22.0,0.92,16.6,1.6
10.1016/j.nanoen.2018.05.035,MAPbI,MAPbI3,22.0,1.09,22.42,1.6
10.1021/acsami.7b11977,MAPbI,MAPbI3,22.0,1.09,22.2,1.6
10.1002/adfm.201808119,MAPbI | (PPA)PbI,MAPbI3 | (PPA)PbI4,22.0,1.105,21.94,
10.1039/c5nr08458j,MAPbI,MAPbI3,22.0,1.11,22.1,1.6
10.1002/aenm.201703054,MAPbI,MAPbI3,22.0,1.02,22.15,1.6
10.1021/acsami.8b03444,MAPbI,MAPbI3,22.0,1.12,23.15,1.6
10.1021/acsnano.8b06062,MAPbI,MAPbI3,22.0,1.04,21.8,1.6
10.1002/aenm.201703054,MAPbI,MAPbI3,22.0,1.03,22.51,1.6
10.1002/aenm.201803573,MAPbI,MAPbI3,21.99,1.09,22.56,1.57
10.1021/acsanm.8b01371,MAPbI,MAPbI3,21.99,1.06,21.65,1.6
10.1002/solr.201900192,MAPbI,MAPbI3,21.99,1.14,22.66,1.6
10.1002/aenm.201803573,MAPbI,MAPbI3,21.99,1.09,22.56,1.57
10.1039/c7ee02272g,MAPbI,MAPbI3,21.98,1.085,22.33,1.61
10.1002/aenm.201803573,MAPbI,MAPbI3,21.97,1.1,22.52,1.57
10.1021/acsnano.8b06062,MAPbI,MAPbI3,21.97,1.095,21.9,1.6
10.1021/acsami.9b18217,MAPbI,MAPbI3,21.97,1.093,24.27,1.63
10.1002/admi.201801976,MAPbI,MAPbI3,21.97,1.03,21.99,1.6
10.1039/c6ta07876a,MAPbI,MAPbI3,21.96,1.05,22.9,1.6
10.1016/j.electacta.2019.135197,MAPbI,MAPbI3,21.96,1.06,22.24,1.45
10.1016/j.jechem.2019.04.019,MAPbI,MAPbI3,21.96,1.06,20.99,1.6
10.1002/aenm.201701757,MAPbI,MAPbI3,21.96,1.109,22.31,1.6
10.1016/j.electacta.2018.07.178,MAPbI,MAPbI3,21.93,1.01,20.23,1.6
10.1002/solr.201900499,MAPbI,MAPbI3,21.93,0.73,16.91,1.6
10.1016/j.jechem.2019.04.019,MAPbI,MAPbI3,21.93,1.07,20.88,1.6
10.1021/acsaem.9b01928,MAPbI,MAPbI3,21.93,1.06,22.51,1.61
10.1039/c8ta00457a,MAPbI,MAPbI3,21.91,1.04,22.5,1.6
10.1021/acs.jpclett.7b02160,MAPbI,MAPbI3,21.9,1.08,22.23,1.6
10.1002/solr.201900045,MAPbI,MAPbI3,21.9,1.05,23.34,1.62
10.1021/acsami.8b01683,MAPbI,MAPbI3,21.9,1.05,22.3,1.6
10.1021/acs.nanolett.7b00847,MAPbI,MAPbI3,21.9,1.07,21.5,1.6
10.1002/advs.201801170,MAPbI,MAPbI3,21.9,1.13,22.1,1.6
10.1088/1361-6463/ab938c,MAPbI,MAPbI3,21.9,1.085,22.9,
10.1002/adfm.201902021,MAPbI,MAPbI3,21.9,1.04,22.11,1.6
10.1021/acs.nanolett.9b00936,MAPbI,MAPbI3,21.9,1.12,22.43,1.6
10.1016/j.solmat.2017.11.010,MAPbI,MAPbI3,21.9,1.034,21.4,1.6
10.1002/aenm.201502472,MAPbI,MAPbI3,21.9,0.95,21.03,1.55
10.1016/j.nanoen.2018.11.021,MAPbI,MAPbI3,21.9,1.09,21.69,1.6
10.1002/adfm.201902021,MAPbI,MAPbI3,21.9,1.05,22.2,1.6
10.1002/solr.201800324,MAPbI,MAPbI3,21.9,0.97,22.8,1.6
10.1002/solr.201800324,MAPbI,MAPbI3,21.9,1.12,22.5,1.6
10.1021/acsaem.8b00726,MAPbI,MAPbI3,21.9,1.1,22.98,1.6
10.1016/j.joule.2020.01.004,MAPbI,MAPbI3,21.89,1.11,22.01,
10.1016/j.jpowsour.2017.06.013,MAPbI,MAPbI3,21.89,1.02,22.87,1.6
10.1007/s40843-020-1306-0,MAPbI,MAPbI3,21.89,1.1,22.95,1.58
10.1016/j.joule.2020.01.004,MAPbI,MAPbI3,21.89,1.11,21.95,
10.1002/adma.201807689,MAPbI,MAPbI3,21.87,1.13,22.66,1.6
10.1039/C9TA04192C,MAPbI,MAPbI3,21.87,1.1,22.84,1.6
10.1039/c8ra08334g,MAPbI,MAPbI3,21.87,0.93,22.1,1.6
10.1002/smll.201804465,MAPbI,MAPbI3,21.86,1.058,22.97,1.6
10.1039/d0ta04721j,MAPbI,MAPbI3,21.85,0.89,0.15,
10.1016/j.electacta.2018.07.178,MAPbI,MAPbI3,21.85,1.01,22.59,1.6
10.1039/d0ta04721j,MAPbI,MAPbI3,21.85,0.8,0.074,
10.1039/d0ta04721j,MAPbI,MAPbI3,21.85,1.09,21.9,
10.1039/c6ta03115c,MAPbI,MAPbI3,21.83,0.972,22.25,1.6
10.1039/c6cp06405a,MAPbI,MAPbI3,21.83,0.997,22.67,1.6
10.1039/c8ta00769a,MAPbI,MAPbI3,21.83,1.1,22.77,1.6
10.1016/j.nanoen.2018.11.004,MAPbI,MAPbI3,21.8,0.59,22.019,1.6
10.1039/c9ta08084h,MAPbI,MAPbI3,21.8,1.149,22.51,1.55
10.1039/c9qm00112c,MAPbI,MAPbI3,21.8,1.05,23.1,1.6
10.1016/j.orgel.2019.105552,MAPbI,MAPbI3,21.8,1.05,22.2,
10.1002/slct.201803002,MAPbI,MAPbI3,21.8,0.99,22.32,1.6
10.1039/d0nr01142h,MAPbI,MAPbI3,21.8,1.08,23.29,1.614
10.1016/j.electacta.2018.07.178,MAPbI,MAPbI3,21.8,1.03,21.84,1.6
10.1109/JPHOTOV.2018.2877022,MAPbI,MAPbI3,21.8,1.08,23.19,1.6
10.1038/ncomms8747,MAPbI,MAPbI3,21.8,1.05,22.4,1.6
10.1016/j.nanoen.2017.04.047,MAPbI,MAPbI3,21.8,1.07,21.94,1.636
10.1016/j.joule.2019.06.011,MAPbI,MAPbI3,21.8,1.08,22.38,1.6
10.1007/s10853-019-03768-2,MAPbI,MAPbI3,21.8,1.04,22.8,1.582
10.1002/solr.201900154,MAPbI,MAPbI3,21.8,1.104,22.19,1.6
10.1039/c8ta02652a,MAPbI,MAPbI3,21.8,1.15,22.64,1.59
10.1039/c5nr05042a,MAPbI,MAPbI3,21.8,1.05,22.9,1.6
10.1016/j.nanoen.2017.11.008,MAPbI,MAPbI3,21.79,1.06,21.93,1.6
10.1002/solr.201700097,MAPbI,MAPbI3,21.79,1.03,23.1,1.6
10.1016/j.jpowsour.2019.227420,MAPbI,MAPbI3,21.79,1.06,21.95,1.6
10.1039/c8ta08819e,MAPbI,MAPbI3,21.79,1.09,22.47,1.6
10.1002/solr.201800066,MAPbI,MAPbI3,21.78,1.06,22.78,1.6
10.1039/c8nj03067g,MAPbI,MAPbI3,21.78,0.94,22.1,1.6
10.1002/aenm.201903108,MAPbI,MAPbI3,21.78,1.092,22.83,1.6
10.1016/j.nanoen.2017.10.026,MAPbI,MAPbI3,21.78,0.909,4.4,1.6
10.1016/j.orgel.2018.09.027,MAPbI,MAPbI3,21.78,1.08,23.11,1.6
10.1016/j.nanoen.2017.10.026,MAPbI,MAPbI3,21.78,1.07,22.7,1.6
10.1039/c9ta12597c,MAPbI,MAPbI3,21.77,1.13,22.42,1.6
10.1039/c9ta12597c,MAPbI,MAPbI3,21.77,1.13,22.42,1.6
10.1002/adfm.201808667,MAPbI,MAPbI3,21.77,1.06,23.34,1.59
10.1016/j.nanoen.2018.12.033,MAPbI,MAPbI3,21.76,1.08,23.25,1.56
10.1039/d0se00549e,MAPbI,MAPbI3,21.76,0.89,23.26,
10.1016/j.nanoen.2017.10.026,MAPbI,MAPbI3,21.76,1.08,22.73,1.6
10.1021/acsami.7b01904,MAPbI,MAPbI3,21.754,1.099,22.689,1.6
10.1021/acsenergylett.8b01556,MAPbI,MAPbI3,21.75,1.124,22.86,1.55
10.1002/aenm.201801509,MAPbI,MAPbI3,21.75,1.06,23.22,1.6
10.7567/JJAP.55.122301,MAPbI,MAPbI3,21.74,1.01,23.65,1.6
10.1021/acsami.9b03304,MAPbI,MAPbI3,21.74,1.05,22.95,1.6
10.1039/c6ta05288f,MAPbI,MAPbI3,21.74,1.11,23.01,1.6
10.1021/acsami.7b01904,MAPbI,MAPbI3,21.732,1.108,22.418000000000003,1.6
10.1016/j.orgel.2019.105403,MAPbI,MAPbI3,21.73,1.08,23.2,
10.1002/adfm.201900417,MAPbI,MAPbI3,21.73,1.07,21.82,1.6
10.1002/admi.201901584,MAPbI,MAPbI3,21.71,1.167,22.83,1.6
10.1021/acs.jpclett.7b02848,MAPbI,MAPbI3,21.71,0.993,21.71,1.6
10.1039/c7ta00894e,MAPbI,MAPbI3,21.7,1.1,22.03,1.6
10.1021/acs.inorgchem.8b01030,MAPbI,MAPbI3,21.7,1.05,22.9,1.6
10.1002/ente.201700377,MAPbI,MAPbI3,21.7,1.1,22.62,1.6
10.1039/c7ta00894e,MAPbI,MAPbI3,21.7,1.1,22.03,1.6
10.1002/adma.201705998,MAPbI,MAPbI3,21.7,0.921,21.6,1.56
10.1002/smll.201900606,MAPbI,MAPbI3,21.7,1.12,22.0,1.55
10.1021/acsaem.8b00192,MAPbI,MAPbI3,21.7,1.09,21.26,1.6
10.1021/acsaem.8b00192,MAPbI,MAPbI3,21.7,1.08,20.83,1.6
10.1021/acsaem.8b00192,MAPbI,MAPbI3,21.7,1.07,20.02,1.6
10.1021/acsaem.8b00192,MAPbI,MAPbI3,21.7,1.07,20.62,1.6
10.1002/solr.201900370,MAPbI,MAPbI3,21.7,1.06,21.9,1.6
10.1021/acsenergylett.8b00493,MAPbI,MAPbI3,21.7,1.11,22.5,1.6
10.1021/acsami.9b06933,MAPbI,MAPbI3,21.7,1.09,22.86,1.6
10.1021/acsami.7b16312,MAPbI,MAPbI3,21.7,1.032,22.27,1.6
10.1039/c9ta11744j,MAPbI,MAPbI3,21.7,1.11,22.87,1.61
10.1021/acsaem.8b00192,MAPbI,MAPbI3,21.7,1.1,21.73,1.6
10.1039/c6ra01149g,MAPbI,MAPbI3,21.7,1.01,21.8,1.6
10.1021/acssuschemeng.9b03776,MAPbI,MAPbI3,21.69,0.96,17.81,1.6
10.1039/c9nj02074h,MAPbI,MAPbI3,21.68,0.96,22.73,1.6
10.1007/s11426-018-9432-x,MAPbI,MAPbI3,21.67,,,1.6
10.1016/j.electacta.2017.12.135,MAPbI,MAPbI3,21.67,0.994,22.1,1.6
10.1007/s11426-018-9432-x,MAPbI,MAPbI3,21.67,1.06,22.92,1.6
10.1002/aenm.201502027,MAPbI,MAPbI3,21.65,0.902,21.83,1.6
10.1002/anie.201902984,MAPbI,MAPbI3,21.65,1.082,22.34,1.6
10.1002/adfm.202001788,MAPbI,MAPbI3,21.65,1.04,22.42,
10.1016/j.solmat.2019.110379,MAPbI,MAPbI3,21.65,1.05,22.46,
10.7567/JJAP.54.100305,MAPbI,MAPbI3,21.65,1.01,21.8,1.5
10.1039/c9ta06718c,MAPbI,MAPbI3,21.64,1.17,22.5,1.6
10.1039/c9ta06718c,MAPbI,MAPbI3,21.64,1.17,22.5,1.6
10.1016/j.jpowsour.2017.06.013,MAPbI,MAPbI3,21.64,1.0,22.9,1.6
10.1021/acsami.8b02987,MAPbI,MAPbI3,21.64,1.1,21.81,1.6
10.1002/aenm.201602017,MAPbI,MAPbI3,21.63,1.1,22.49,1.6
10.1016/j.orgel.2019.105403,MAPbI,MAPbI3,21.63,1.06,23.15,
10.1021/acssuschemeng.9b03776,MAPbI,MAPbI3,21.62,0.96,18.67,1.6
10.1016/j.apsusc.2019.05.067,MAPbI,MAPbI3,21.61,1.08,22.71,1.6
10.1021/jacs.9b01305,MAPbI,MAPbI3,21.6,1.09,22.64,1.6
10.1002/admi.201600948,MAPbI,MAPbI3,21.6,1.05,22.83,1.6
10.1021/jacs.9b01305,MAPbI,MAPbI3,21.6,1.12,23.27,1.6
10.1039/c9ta06439g,MAPbI,MAPbI3,21.6,1.116,22.67,1.6
10.1016/j.orgel.2019.105387,MAPbI,MAPbI3,21.6,1.09,23.42,1.62
10.1039/c7se00536a,MAPbI,MAPbI3,21.6,0.85,21.7,1.6
10.1021/acsami.9b01740,MAPbI,MAPbI3,21.6,1.05,22.77,1.6
10.1038/ncomms8747,MAPbI,MAPbI3,21.6,1.07,22.0,1.6
10.1016/j.electacta.2019.135197,MAPbI,MAPbI3,21.6,1.02,22.11,1.45
10.1002/solr.201800173,MAPbI,MAPbI3,21.6,1.08,23.47,1.6
10.1002/chem.201804799,MAPbI,MAPbI3,21.6,1.04,22.96,1.6
10.1002/pip.3205,MAPbI,MAPbI3,21.6,1.069,22.14,1.6
10.1039/c6nr01927g,MAPbI,MAPbI3,21.6,1.01,21.9,1.6
10.1002/solr.201900192,MAPbI,MAPbI3,21.59,1.13,22.3,1.6
10.1007/s11426-018-9432-x,MAPbI,MAPbI3,21.58,1.1,22.72,1.6
10.1007/s11426-018-9432-x,MAPbI,MAPbI3,21.58,,,1.6
10.1021/acsami.9b06873,MAPbI,MAPbI3,21.57,1.14,22.97,1.55
10.1021/acsami.7b14254,MAPbI,MAPbI3,21.57,1.057,23.36,1.6
10.1039/c4ee03224a,MAPbI,MAPbI3,21.56,1.0,22.6,1.6
10.1038/s41467-019-12613-8,MAPbI,MAPbI3,21.56,1.068,22.61,1.6
10.1007/s11426-018-9432-x,MAPbI,MAPbI3,21.56,1.08,23.0,1.6
10.3390/ma12081314,MAPbI,MAPbI3,21.56,0.88,21.56,1.6
10.1007/s11426-018-9432-x,MAPbI,MAPbI3,21.56,,,1.6
10.1002/adma.201903559,MAPbI,MAPbI3,21.54,1.071,22.1,1.61
10.1016/j.nanoen.2018.07.063,MAPbI,MAPbI3,21.54,1.06,22.19,1.55
10.1021/acsami.0c02837,MAPbI,MAPbI3,21.54,1.12,21.95,
10.1016/j.joule.2019.04.005,MAPbI,MAPbI3,21.53,1.134,22.77,1.6
10.1016/j.electacta.2018.11.055,MAPbI,MAPbI3,21.53,1.08,22.34,1.6
10.1016/j.nanoen.2016.04.060,MAPbI,MAPbI3,21.52,1.106,23.27,1.6
10.1039/c9nr01836k,MAPbI,MAPbI3,21.52,0.92,21.94,1.6
10.1002/adfm.201604944,MAPbI,MAPbI3,21.5,1.1,21.67,1.6
10.1016/j.isci.2019.10.021,MAPbI,MAPbI3,21.5,1.087,22.41,1.6
10.1021/acsaem.0c00038,MAPbI,MAPbI3,21.5,1.145,22.8,1.62
10.1039/c7nr07753j,MAPbI,MAPbI3,21.5,,,1.6
10.1016/j.jallcom.2017.11.027,MAPbI,MAPbI3,21.5,1.07,21.39,1.56
10.1016/j.nanoen.2017.12.028,MAPbI,MAPbI3,21.5,1.02,21.29,1.6
10.1016/j.jallcom.2017.11.027,MAPbI,MAPbI3,21.5,1.1,21.4,1.56
10.1002/adfm.201906763,MAPbI,MAPbI3,21.5,1.06,21.9,1.6
10.1002/solr.201800205,MAPbI,MAPbI3,21.5,0.98,22.19,1.5
10.1039/c9tc03877a,MAPbI,MAPbI3,21.5,0.98,19.99,1.6
10.1039/c7ta00362e,MAPbI,MAPbI3,21.5,0.96,21.89,1.6
10.1002/adfm.201801985,MAPbI,MAPbI3,21.5,1.15,22.47,1.6
10.1021/acsnano.8b05514,MAPbI,MAPbI3,21.5,1.11,22.81,1.6
10.1016/j.nanoen.2017.12.028,MAPbI,MAPbI3,21.5,1.1,21.78,1.6
10.1016/j.nanoen.2017.12.028,MAPbI,MAPbI3,21.5,1.05,21.62,1.6
10.1039/c5ra23845e,MAPbI,MAPbI3,21.5,0.91,22.6,1.55
10.1007/s12274-017-1894-7,MAPbI,MAPbI3,21.5,0.94,22.74,1.6
10.1039/c6nr08741h,MAPbI,MAPbI3,21.5,1.053,21.84,
10.1002/adfm.201807094,MAPbI,MAPbI3,21.5,1.11,24.4,1.6
10.3390/ma12050726,MAPbI,MAPbI3,21.5,1.08,22.53,1.6
10.1002/adfm.201701804,MAPbI,MAPbI3,21.5,1.05,21.74,1.6
10.1002/smll.201803339,MAPbI,MAPbI3,21.5,0.91,21.95,1.58
10.1016/j.jallcom.2017.11.027,MAPbI,MAPbI3,21.5,1.11,22.22,1.56
10.1002/solr.201800240,MAPbI,MAPbI3,21.5,0.022,1.0,1.6
10.1016/j.jallcom.2017.11.027,MAPbI,MAPbI3,21.5,0.72,2.26,1.56
10.1002/smll.201604153,MAPbI,MAPbI3,21.5,1.08,21.71,1.6
10.1016/j.jallcom.2017.11.027,MAPbI,MAPbI3,21.5,0.99,14.66,1.56
10.1038/ncomms8747,MAPbI,MAPbI3,21.5,1.06,22.2,1.6
10.1002/advs.202000782,MAPbI,MAPbI3,21.5,1.035,23.6,
10.1002/advs.201700025,MAPbI,MAPbI3,21.5,1.06,22.0,1.6
10.1021/acsaem.0c00038,MAPbI,MAPbI3,21.5,1.125,22.32,1.62
10.1016/j.orgel.2018.02.026,MAPbI,MAPbI3,21.5,1.08,21.9,1.6
10.1126/sciadv.1700106,MAPbI,MAPbI3,21.5,1.15,21.74,1.63
10.1021/acssuschemeng.7b03382,MAPbI,MAPbI3,21.5,1.05,21.45,1.6
10.1002/aenm.201901268,MAPbI,MAPbI3,21.49,1.04,22.56,1.6
10.1016/j.orgel.2017.03.005,MAPbI,MAPbI3,21.48,0.85,21.57,1.6
10.1021/acsenergylett.8b00428,MAPbI,MAPbI3,21.48,1.08,22.33,1.6
10.1021/acsami.7b10773,MAPbI,MAPbI3,21.48,1.11,21.5,1.57
10.1039/c9ta06718c,MAPbI,MAPbI3,21.48,1.07,22.59,1.6
10.1039/c9ta06718c,MAPbI,MAPbI3,21.48,1.07,22.59,1.6
10.1002/solr.201900192,MAPbI,MAPbI3,21.47,1.1,22.44,1.6
10.1016/j.jpowsour.2017.10.067,MAPbI,MAPbI3,21.45,1.12,21.96,1.6
10.1016/j.solmat.2019.110379,MAPbI,MAPbI3,21.45,0.99,20.06,
10.1039/d0ta04721j,MAPbI,MAPbI3,21.45,0.95,0.158,
10.1016/j.orgel.2017.07.047,MAPbI,MAPbI3,21.45,0.557,22.841,1.51
10.1039/d0ta04721j,MAPbI,MAPbI3,21.45,1.1,21.4,
10.1016/j.electacta.2017.12.135,MAPbI,MAPbI3,21.45,0.988,22.01,1.6
10.1016/j.solmat.2019.110379,MAPbI,MAPbI3,21.45,0.96,22.26,
10.1002/aenm.201800438,MAPbI,MAPbI3,21.45,1.1,22.81,1.6
10.1039/d0ta04721j,MAPbI,MAPbI3,21.45,0.93,0.077,
10.1039/c8ta11361k,MAPbI,MAPbI3,21.44,1.02,21.35,1.6
10.1246/cl.160059,MAPbI,MAPbI3,21.44,1.044,22.79,1.6
10.1039/c7ta06766f,MAPbI,MAPbI3,21.43,1.06,22.18,1.6
10.1021/acsnano.9b07594,MAPbI,MAPbI3,21.43,1.14,22.5,
10.1364/OME.380354,MAPbI,MAPbI3,21.43,0.99,21.1,1.65
10.1021/acsnano.9b07594,MAPbI,MAPbI3,21.43,1.13,21.7,
